Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Missing,https://amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_g_4149493031_sccl_10/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,Murty Sudha
Srimad Bhagavad Gita (HINDI),Missing,https://amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_g_4149493031_sccl_11/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,RR Varma
"Autobiography of a Yogi (योगी कथामृत हिंदी) Yogi Kathaamrit Hindi, Yogi Paramahansa Yogananda परमहंस योगानंद आत्मकथा, (Atmakatha/kathamrit/kathamrita ... Hindi) (get a bonus Law of Success booklet)",Missing,https://amazon.in/Autobiography-Kathaamrit-Paramahansa-Yogananda-kathamrita/dp/B093HBVKKX/ref=zg_bs_g_4149493031_sccl_12/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,980
Why I Killed Gandhi?,Missing,https://amazon.in/Why-Killed-Gandhi-Nathuram-Godse/dp/9355715927/ref=zg_bs_g_4149493031_sccl_13/000-0000000-0000000?psc=1,Paperback,Missing,4.1 out of 5 stars,Nathuram Godse
The Art Of War,Sun Tzu,https://amazon.in/Art-War-Sun-Tzu/dp/8172345240/ref=zg_bs_g_4149493031_sccl_14/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"13,120"
"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Missing,https://amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055/ref=zg_bs_g_4149493031_sccl_15/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,Murty Sudha
Autobiography of A Yogi PB,Paramahansa Yogananda,https://amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_g_4149493031_sccl_16/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"10,588"
An Autobiography : The Story Of My Experiments With Truth,Missing,https://amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116/ref=zg_bs_g_4149493031_sccl_17/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,Mahatma Gandhi
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,https://amazon.in/Autobiography-of-a-Yogi/dp/B09C745BCM/ref=zg_bs_g_4149493031_sccl_18/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,171
The Diary Of A Young Girl -FINGERPRINT,Anne Frank,https://amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194/ref=zg_bs_g_4149493031_sccl_19/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"43,035"
Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,https://amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_4149493031_sccl_20/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,344
War of Lanka (Ram Chandra Series Book 4),Amish Tripathi,https://amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_g_4149493031_sccl_21/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"5,634"
Sapiens Manav Jati ka Sankshipt Itihas,Yuval Noah Harari,https://amazon.in/Sapiens-Manav-Jati-Sankshipt-Itihas/dp/9388241177/ref=zg_bs_g_4149493031_sccl_22/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"1,961"
